Justin,Jackson,LAC,7,26.7,29,200,0,11,22,0
Reggie,Bonnafon,CAR,8,26.3,16,116,1,10,57,0
Ty,Montgomery,NULL,12,25.8,32,103,0,17,90,0
C.J.,Prosise,SEA,8,25.8,23,72,1,12,76,0
T.J.,Yeldon,BUF,4,25.2,17,63,0,16,124,0
Travis,Homer,SEA,4,22.5,18,114,0,13,56,0
Darrell,Henderson,LAR,7,20.4,39,147,0,6,37,0
Wendell,Smallwood,NULL,11,19,22,81,0,13,64,0
Trey,Edmunds,PIT,6,17,22,92,0,7,48,0
Wes,Hills,DET,1,15.2,10,21,2,2,1,0
Alec,Ingold,LV,11,15.1,10,17,0,6,44,1
Patrick,Ricard,BAL,7,14.7,0,0,0,11,47,1
Kerrith,Whyte,PIT,6,13.6,25,122,0,1,9,0
Dan,Vitale,NULL,9,13.5,1,3,0,12,97,0
Andy,Janovich,CLE,4,12.8,1,1,1,5,42,0
D'Ernest,Johnson,CLE,3,12.2,4,21,0,7,71,0
Darren,Sproles,NULL,6,12,17,66,0,10,24,0
Derek,Watt,PIT,8,11.7,7,10,1,5,32,0
Javorius,Allen,NYG,3,11,10,36,1,2,9,0
Jonathan,Hilliman,NYG,3,10.7,30,91,0,4,1,0
Troymaine,Pope,NULL,3,10.4,10,20,0,3,14,1
Spencer,Ware,NULL,3,9.8,17,51,0,7,22,0
Devontae,Booker,NULL,6,9.6,2,9,0,9,57,0
Marshawn,Lynch,SEA,1,9.4,12,34,1,0,0,0
Nick,Bellore,SEA,2,9.3,0,0,0,2,23,1
Alex,Armah,CAR,6,8.7,6,11,1,2,6,0
Tra,Carson,DET,2,8.6,18,48,0,4,18,0
Zach,Line,NO,8,8.6,7,20,0,10,36,0
Mike,Davis,CAR,5,8.4,13,27,0,8,22,0
Kenjon,Barner,NULL,8,8,4,28,0,8,22,0
Khari,Blasingame,TEN,4,7.4,0,0,0,5,54,0
Patrick,DiMarco,BUF,6,7.3,3,7,0,7,41,0
Dwayne,Washington,NO,4,7.1,8,60,0,1,6,0
Devine,Ozigbo,JAX,1,6.5,9,27,0,5,23,0
Elijhaa,Penny,NYG,7,5.8,15,39,0,4,9,0
Taiwan,Jones,NULL,1,5.4,9,40,0,1,9,0
C.J.,Anderson,NULL,2,4.3,16,43,0,0,0,0
Paul,Perkins,NULL,3,4.3,12,29,0,1,9,0
Anthony,Sherman,NULL,4,4.1,4,9,0,3,22,0
Nick,Bawden,DET,5,3.7,0,0,0,6,17,0
Tyler,Ervin,NULL,2,3.1,1,10,0,4,11,0
Jay,Ajayi,NULL,3,3,10,30,0,1,0,0
Zach,Zenner,NULL,3,2.7,3,-2,0,3,19,0
Dalyn,Dawkins,TEN,2,2.6,11,26,0,1,0,0
Keith,Smith,ATL,6,2.6,5,8,0,4,13,0
