Miles,Boykin,BAL,12,44.3,22,13,198,3
Keke,Coutee,HOU,8,43.8,36,22,254,0
Pharoh,Cooper,CAR,11,43,33,25,243,1
Jarius,Wright,NULL,16,42.9,58,28,296,0
Vyncint,Smith,NYJ,13,42.2,31,17,225,0
Jaron,Brown,SEA,8,42,28,16,220,2
Tavon,Austin,NULL,13,40.9,24,13,177,1
Chester,Rogers,NULL,9,39.7,27,16,179,2
Trey,Quinn,WAS,12,38.8,47,26,198,1
Malik,Turner,SEA,10,38,22,15,245,1
Isaiah,Ford,MIA,8,37,35,23,244,0
Marvin,Hall,DET,7,36.3,11,7,261,1
KeeSean,Johnson,ARI,10,35.5,42,21,187,1
Zay,Jones,LV,14,35.4,46,27,216,0
Justin,Watson,TB,6,35.4,26,15,159,2
Scotty,Miller,TB,9,34.1,26,13,200,1
Jake,Kumerow,GB,11,33.9,21,12,219,1
Javon,Wims,CHI,11,33.6,39,18,186,1
N'Keal,Harry,NE,7,33.4,24,12,105,2
Bennie,Fowler,NULL,8,32.8,35,23,193,0
DeSean,Jackson,PHI,3,32.4,11,9,159,2
Jakeem,Grant,MIA,9,32.4,32,19,164,0
Marquise,Goodwin,SF,8,32.1,21,12,186,1
Damion,Ratley,CLE,9,32,24,12,200,1
Parris,Campbell,IND,7,31.1,24,18,127,1
Andy,Isabella,ARI,9,30.9,13,9,189,1
Tim,Patrick,DEN,7,29.8,31,16,218,0
Byron,Pringle,KC,6,29,16,12,170,1
Justin,Hardy,NULL,11,29,26,19,195,0
Laquon,Treadwell,NULL,9,28.9,16,9,184,1
Duke,Williams,BUF,4,28.6,19,12,166,1
Trevor,Davis,NULL,7,28.4,11,8,111,0
Dante,Pettis,SF,9,28.4,24,11,109,2
JJ,Arcega-Whiteside,NULL,8,27.9,22,10,169,1
Kalif,Raymond,TEN,7,27,12,9,170,1
Richie,James,SF,7,25.4,10,6,165,1
Cordarrelle,Patterson,CHI,12,24.1,17,11,83,0
Dontrelle,Inman,NULL,7,24.1,21,12,181,0
DeAndre,Carter,HOU,6,21.7,14,11,162,0
Devin,Smith,DAL,3,19.8,9,5,113,1
Olamide,Zaccheaus,ATL,3,19,5,3,115,1
Keelan,Doss,LV,6,18.8,14,11,133,0
Mack,Hollins,MIA,8,17.5,23,10,125,0
Deon,Cain,PIT,11,16.9,20,9,124,0
Christian,Blake,ATL,6,14.6,24,11,91,0
Brandon,Zylstra,CAR,4,14.6,12,8,106,0
Braxton,Berrios,NYJ,6,14.5,13,6,115,0
Marcell,Ateman,LV,4,14.1,10,5,116,0
Antonio,Brown,NULL,1,14.1,8,4,56,1
Rico,Gafford,LV,2,13.6,2,2,66,1
Rashard,Higgins,NULL,6,13.5,11,4,55,1
Antonio,Callaway,NULL,4,12.9,15,8,89,0
Damion,Willis,CIN,7,12.7,16,9,82,0
J.J.,Nelson,NULL,1,11.6,5,4,36,1
T.J.,Jones,NULL,1,11.3,4,3,38,1
Robert,Foster,BUF,10,10.8,18,3,64,0
Chris,Hogan,NULL,7,10.7,15,8,67,0
Trent,Sherfield,ARI,7,10,13,4,80,0
Riley,Ridley,CHI,3,9.9,7,6,69,0
KhaDarel,Hodge,NULL,7,9.6,10,4,76,0
Andre,Patton,LAC,7,8.6,17,6,56,0
Deonte,Harris,NO,8,8.5,6,6,24,0
Tevin,Jones,DAL,4,8.1,11,4,61,0
Ventell,Bryant,DAL,1,8,1,1,15,1
Chad,Beebe,MIN,2,8,3,2,70,0
Chris,Lacy,DET,3,7.5,10,3,60,0
Cedrick,Wilson,DAL,3,7.1,8,5,46,0
DeAndrew,White,NULL,3,7.1,9,4,51,0
Diontae,Spencer,DEN,7,6.7,8,6,31,0
Ryan,Switzer,PIT,3,6.7,11,8,27,0
Travis,Benjamin,NULL,5,6,16,6,30,0
Deontay,Burnett,PHI,1,5.8,4,2,48,0
Alexander,Hollins,MIN,2,5.6,4,2,46,0
Jason,Moore,LAC,4,5.3,5,2,43,0
Geremy,Davis,NULL,2,5.3,3,3,38,0
